管理番号,作家,間口,奥行,高さ,タイトル,価格,本文,"本文
文字数",,,,
3-20-089,平安豊久作,60,35,55,衣裳着刺繍親王収納飾りセット一式,"176,000",紫とサーモンピンクの衣裳には花菱文様の刺繍が施されています。黒木目が強調された収納箱前面には引箔という日本の伝統的技法で作られた飾りがデザインされています。シンプルの中にも個性的な主張が伝わるセットです。,102,,,,
3-20-080,平安豊久作,60,36,55,"衣裳着親王収納飾りセット一式
※名入れ旗は別売になります。","184,800",近年ご好評をいただいていますグレーとピンクの洋風柄な衣裳のお雛様です。二枚折りの屏風には箔と桜の模様がデザインされ収納箱には花くす玉の蒔絵が施されています。ホワイトカラーでリビングにもぴったりな明るくおしゃれなセットです。,111,,,,
3-20-085,平安豊久作,60,33,52,"衣裳着刺繍親王収納飾りセット一式
※つるし飾りと観葉植物は付きません。","204,600",しだれ桜をデザインした収納箱にあわせて白地にブルーとピンクの花柄衣裳を組み合わせました。屏風にはＬＥＤの間接照明が灯りおしゃれなテイストに仕上がっています。センターに置かれた１本桜が春の装いを醸しています。,103,,,,
3-18-087,"柴田家千代作
",60,38,53,"衣裳着刺繍親王収納飾りセット一式
人気女流作家","210,100",京刺繍にかわいらしいビーズ加工を施した衣裳が特徴です。女性ならではの着眼点で創作したお雛様は人気が高く必見です。麻の葉文様をデザインした収納箱とシンプルな繊維状の模様の金屏風が上品な和モダンテイストになっています。紅白梅の花びらは蚕の繭から作られた高級品です。,130,,,,
3-11-060,田村芙紗彦作,60,35,27,"衣裳着親王飾りセット一式
※名入れ旗と観葉植物は付きません。
高級高岡塗り","215,600",田村芙紗彦のお雛様は、お姫様・お殿様ともに前から見ると重心の低い正三角形を描くようなスタイルが特徴です。手を長くし重心を低くすることで落ち着きのある安定感と高級感を醸し出しています。しっとりした上品な衣裳は高級素材の証です。,112,,,,
3-11-061,田村芙紗彦作,65,41,59,"衣裳着桜刺繍親王収納飾りセット一式
収納","220,550",可愛らしい桜の刺繍が入った人気のお雛様です。ふっくらした優しいお顔がお衣裳とよく合っていて昨年度も大変評価の高かったシリーズです。行灯のライトがお雛様を優しく照らしています。,87,,,,
3-11-059,田村芙紗彦作,60,33,31,衣裳着ぼかし染刺繍親王飾りセット一式,"228,800",淡い紫とピンクのぼかし染めの衣裳の上に桜の刺繍を施したお雛様です。美男美女の細面なお顔が特徴です。屏風はLEDの間接照明が灯り、洋風なリビングにも溶け込みます。モダンテイストをお探しの方にはピッタリのセットです。,106,,,,
3-11-001,田村芙紗彦作,67,35,55,"衣裳着親王収納飾りセット一式
収納","232,100",古典的な雲鶴文様のお殿様と丸文様の華やかなお姫です。桐の表面に焼き色を付けた焼桐と言われる屏風と収納台をセットし、桜の豪華な刺繍がアクセントになっています。紅白梅の花びらは蚕の繭作られた高級品です。,99,,,,
3-11-058,田村芙紗彦作,60,38,27,"衣裳着金彩刺繍親王飾りセット一式
高級会津塗り
※つるし飾りは別売になります。","236,500",大柄の刺繍が目を引きます。高級会津塗りの屏風と飾り台を組み合わせたおしゃれなセットです。繭玉（蚕の繭からつくった）の紅白梅は大変手間がかかる高級品で他ではあまりお目にかかれないと思います。実物をご覧いただきその良さを実感してください。,117,,,,
3-23-017,望月紀彦作,55,30,29,"衣裳着親王飾りセット一式
※名入れ旗とつるし飾りは別売になります。","156,200",つくりに定評のある望月紀彦のコンパクトタイプのセットです。昨年度大変人気のあったお顔のお雛様です。淡い色合いのしだれ桜屏風がお人形を上品に包み込みます。前飾のお道具には螺鈿細工が施されています。,97,,,,
